# PackageID; Layer; Column; Row; TS; TS1; TS2; TriggerTS; TriggerID; ext. TS; ext. TS2; FIFO overflow
38	2	38	160	345	-1	81	21267119104	49436	21267120473	10387921	0
39	4	28	137	905	-1	105	21313235968	6418	21313235849	6171625	0
39	4	29	138	903	-1	117	21313235968	6418	21313235847	6171637	0
40	2	130	261	851	-1	70	21423397888	60208	21423398739	15671238	0
40	2	130	263	851	-1	85	21423397888	60208	21423398739	15671253	0
42	1	98	352	470	-1	11	21620718592	25484	21620720086	11665931	0
42	1	98	353	463	-1	31	21620718592	25484	21620720079	11665951	0
43	3	80	185	817	-1	64	21758813184	27377	21758815025	15543232	0
44	3	15	192	949	-1	92	21942121472	51347	21942122421	14301148	0
44	3	15	193	949	-1	92	21942121472	51347	21942122421	14301148	0
44	3	15	7	949	-1	126	21942121472	51347	21942122421	14301182	0
44	3	15	5	949	-1	19	21942121472	51347	21942122421	14301203	0
44	3	15	6	949	-1	24	21942121472	51347	21942122421	14301208	0
44	3	15	4	949	-1	4	21942121472	51347	21942122421	14301316	0
44	3	15	3	949	-1	124	21942121472	51347	21942122421	14301308	0
44	3	15	2	949	-1	124	21942121472	51347	21942122421	14301308	0
44	3	15	1	952	-1	121	21942121472	51347	21942122424	14301433	0
44	3	15	194	949	-1	92	21942121472	51347	21942122421	14301404	0
44	3	15	195	949	-1	92	21942121472	51347	21942122421	14301404	0
44	3	15	259	949	-1	92	21942121472	51347	21942122421	14301404	0
44	3	15	260	949	-1	93	21942121472	51347	21942122421	14301533	0
44	3	15	261	949	-1	93	21942121472	51347	21942122421	14301533	0
44	3	15	262	949	-1	93	21942121472	51347	21942122421	14301661	0
44	3	15	263	949	-1	93	21942121472	51347	21942122421	14301661	0
45	4	68	252	153	-1	113	22039886848	33548	22039888025	11403505	0
46	1	56	59	12	-1	51	22153829376	23648	22153830412	7905331	0
46	1	55	59	8	-1	48	22153829376	23648	22153830408	7905456	0
46	1	56	58	7	-1	58	22153829376	23648	22153830407	7905466	0
46	1	55	58	2	-1	70	22153829376	23648	22153830402	7905478	0
48	4	79	58	187	-1	15	22272209920	15915	22272210107	8844559	0
48	4	79	57	183	-1	25	22272209920	15915	22272210103	8844569	0
50	1	70	274	987	-1	110	23035151360	60765	23035151323	33774	0
50	1	69	25	986	-1	110	23035151360	60765	23035151322	33774	0
50	1	69	272	986	-1	110	23035151360	60765	23035151322	33774	0
50	1	70	276	986	-1	15	23035151360	60765	23035151322	33807	0
50	1	69	275	986	-1	13	23035151360	60765	23035151322	33805	0
50	1	70	275	986	-1	23	23035151360	60765	23035151322	33815	0
50	1	69	274	985	-1	34	23035151360	60765	23035151321	33826	0
50	1	70	277	987	-1	18	23035151360	60765	23035151323	33938	0
50	1	70	278	992	-1	15	23035151360	60765	23035151328	33935	0
50	1	69	273	985	-1	60	23035151360	60765	23035151321	33980	0
50	1	70	279	999	-1	17	23035151360	60765	23035151335	33937	0
50	1	108	311	612	-1	81	23036957696	61647	23036959332	1841873	0
50	2	61	299	602	-1	78	23036957696	61647	23036959322	1841870	0
50	2	60	298	600	-1	78	23036957696	61647	23036959320	1841870	0
50	1	108	312	624	-1	79	23036957696	61647	23036959344	1841871	0
50	2	60	299	597	-1	87	23036957696	61647	23036959317	1841879	0
50	2	61	297	594	-1	104	23036957696	61647	23036959314	1841896	0
